Season,Player,Team,Injury,Date,Source
2025,L.J. Collier,DL,Injured Reserve - Designated for Return (Knee),12/19,Yahoo
2025,Paris Johnson Jr.,OL,Out (Knee),12/19,Yahoo
2025,Cody Simon,LB,Questionable (Knee),12/19,Yahoo
2025,Bilal Nichols,DL,Injured Reserve (Knee),12/19,Yahoo
2025,Starling Thomas V,CB,Injured Reserve (Knee - ACL),12/19,Yahoo
2025,Trey Benson,RB,Injured Reserve (Knee - Meniscus),12/19,Yahoo
2025,Drake London,WR,Questionable (Knee),12/19,Yahoo
2025,Troy Andersen,LB,Physically Unable to perform (Regular Season) (Knee),12/19,Yahoo
2025,Sam Roberts,DT,Injured Reserve (Knee),12/19,Yahoo
2025,Zach Harrison,DL,Injured Reserve (Knee),12/19,Yahoo
2025,Michael Penix Jr.,QB,Injured Reserve (Knee - ACL),12/19,Yahoo
2025,Bralen Trice,DE,Injured Reserve (Knee),12/19,Yahoo
2025,Ronnie Stanley,T,Questionable (Knee),12/19,Yahoo
2025,Teddye Buchanan,LB,Out (Knee),12/19,Yahoo
2025,Jay Higgins IV,LB,Injured Reserve - Designated for Return (Knee),12/19,Yahoo
2025,Taven Bryan,DT,Injured Reserve (Knee),12/19,Yahoo
2025,Bilhal Kone,CB,Injured Reserve (Knee),12/19,Yahoo
2025,Robert Longerbeam,CB,Injured Reserve (Knee),12/19,Yahoo
2025,Chandler Martin,LB,Out (Knee - ACL),12/19,Yahoo
2025,Chase Lundt,OT,Injured Reserve (Knee),12/19,Yahoo
2025,Taylor Rapp,S,Injured Reserve (Knee),12/19,Yahoo
2025,Landon Jackson,DE,Injured Reserve (Knee),12/19,Yahoo
2025,Ikem Ekwonu,T,Questionable (Knee),12/19,Yahoo
2025,Damarri Mathis,CB,Injured Reserve (Knee - ACL),12/19,Yahoo
2025,Jonathon Brooks,RB,Physically Unable to perform (Regular Season) (Knee - ACL),12/19,Yahoo
2025,Braxton Jones,OL,Injured Reserve (Knee),12/19,Yahoo
2025,Terell Smith,DB,Injured Reserve (Knee),12/19,Yahoo
2025,Shemar Turner,DL,Injured Reserve (Knee - ACL),12/19,Yahoo
2025,Brian Asamoah II,LB,Injured Reserve (Knee),12/19,Yahoo
2025,Erick All Jr.,TE,Physically Unable to perform (Regular Season) (Knee - ACL),12/19,Yahoo
2025,Matt Lee,C,Injured Reserve (Knee),12/19,Yahoo
2025,David Njoku,TE,Out (Knee),12/19,Yahoo
2025,DeAndre Carter,WR,Injured Reserve (Knee),12/19,Yahoo
2025,Dawand Jones,T,Injured Reserve (Knee),12/19,Yahoo
2025,Dom Jones,CB,Injured Reserve (Knee),12/19,Yahoo
2025,Trevon Diggs,CB,Injured Reserve - Designated for Return (Knee),12/19,Yahoo
2025,Josh Butler,CB,Physically Unable to perform (Regular Season) (Knee),12/19,Yahoo
2025,Miles Sanders,RB,Injured Reserve (Knee),12/19,Yahoo
2025,Ajani Cornelius,OT,Injured Reserve (Knee),12/19,Yahoo
2025,Matt Peart,T,Injured Reserve (Knee - MCL),12/19,Yahoo
2025,Nick Gargiulo,G,Injured Reserve (Knee),12/19,Yahoo
2025,Graham Glasgow,OL,Questionable (Knee),12/19,Yahoo
